subset_rank_key,subset_size,subset_features,model,accuracy_mean,roc_auc_mean,log_loss_mean,brier_mean,calibration_gap_pp_mean,n_splits
intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+vwap,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+vwap,7day_logistic_baseline,0.7613670133729569,0.839527723576199,0.4985786900545914,0.16195925390916893,30.604229970454977,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+vwap,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+vwap,7day_logistic_enhanced,0.7650074294205051,0.8439847849437225,0.4853446862813753,0.15988508959597444,31.512219540824155,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+vwap,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_price_acceleration+vwap,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s+tte_range_asymmetry,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s+tte_range_asymmetry,7day_logistic_baseline,0.8035087719298246,0.8786603046233801,0.42906640389121603,0.13834741053517377,27.72664061611892,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s+tte_range_asymmetry,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s+tte_range_asymmetry,7day_logistic_enhanced,0.8048976608187135,0.8819045607745941,0.4285664501766216,0.13749039060610396,27.891185035906176,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s+tte_range_asymmetry,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s+tte_range_asymmetry,polymarket,0.8140350877192982,0.9044599409963723,0.3867321282203763,0.12612084260757303,26.52058958687828,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s+vwap,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s+vwap,7day_logistic_baseline,0.7614413075780089,0.8395283656700661,0.4985783246827914,0.16195822319975828,30.604168795894832,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s+vwap,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s+vwap,7day_logistic_enhanced,0.7650074294205051,0.8439909180472127,0.48534640495564185,0.15988510762595604,31.51243502642857,1
intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s+vwap,4,intra_candle_vwap_deviation+tick_entropy_10s+micro_acceleration_decay_15s+vwap,polymarket,0.8149331352154532,0.9055702218651295,0.38480867250724216,0.12539476623978618,26.401542722955607,1
intra_candle_vwap_deviation+tick_entropy_10s+tte_range_asymmetry+vwap,4,intra_candle_vwap_deviation+tick_entropy_10s+tte_range_asymmetry+vwap,7day_logistic_baseline,0.8026002971768202,0.880091494390668,0.4281680504529498,0.13804344704283547,27.496084755475884,1
